DATE,NASDAQCOM
2020-02-14,9731.176
2020-02-17,.
2020-02-18,9732.742
2020-02-19,9817.18
2020-02-20,9750.965
2020-02-21,9576.59
2020-02-24,9221.281
2020-02-25,8965.613
2020-02-26,8980.773
2020-02-27,8566.48
2020-02-28,8567.367
2020-03-02,8952.164
2020-03-03,8684.09
2020-03-04,9018.09
2020-03-05,8738.594
2020-03-06,8575.617
2020-03-09,7950.676
2020-03-10,8344.254
2020-03-11,7952.051
2020-03-12,7201.801
2020-03-13,7874.875
2020-03-16,6904.594
2020-03-17,7334.781
2020-03-18,6989.844
2020-03-19,7150.578
2020-03-20,6879.516
2020-03-23,6860.672
2020-03-24,7417.855
2020-03-25,7384.297
2020-03-26,7797.535
2020-03-27,7502.379
2020-03-30,7774.152
2020-03-31,7700.098
2020-04-01,7360.582
2020-04-02,7487.313
2020-04-03,7373.082
2020-04-06,7913.238
2020-04-07,7887.258
2020-04-08,8090.902
2020-04-09,8153.574
2020-04-10,.
2020-04-13,8192.426
2020-04-14,8515.742
2020-04-15,8393.176
2020-04-16,8532.363
2020-04-17,8650.141
2020-04-20,8560.727
2020-04-21,8263.23
2020-04-22,8495.379
2020-04-23,8494.754
2020-04-24,8634.52
2020-04-27,8730.164
2020-04-28,8607.73
2020-04-29,8914.711
2020-04-30,8889.551
2020-05-01,8604.949
2020-05-04,8710.715
2020-05-05,8809.121
2020-05-06,8854.387
2020-05-07,8979.66
2020-05-08,9121.32
2020-05-11,9192.344
2020-05-12,9002.551
2020-05-13,8863.168
2020-05-14,8943.723
2020-05-15,9014.559
2020-05-18,9234.828
2020-05-19,9185.105
2020-05-20,9375.777
2020-05-21,9284.883
2020-05-22,9324.586
2020-05-25,.
2020-05-26,9340.219
2020-05-27,9412.359
2020-05-28,9368.988
2020-05-29,9489.871
2020-06-01,9552.051
2020-06-02,9608.375
2020-06-03,9682.91
2020-06-04,9615.813
2020-06-05,9814.082
2020-06-08,9924.746
2020-06-09,9953.754
2020-06-10,10020.348
2020-06-11,9492.727
2020-06-12,9588.809
2020-06-15,9726.023
2020-06-16,9895.867
2020-06-17,9910.531
2020-06-18,9943.051
2020-06-19,9946.125
2020-06-22,10056.477
2020-06-23,10131.367
2020-06-24,9909.164
2020-06-25,10017.004
2020-06-26,9757.219
2020-06-29,9874.152
2020-06-30,10058.766
2020-07-01,10154.629
2020-07-02,10207.629
2020-07-03,.
2020-07-06,10433.648
2020-07-07,10343.887
2020-07-08,10492.50
2020-07-09,10547.75
2020-07-10,10617.445
2020-07-13,10390.844
2020-07-14,10488.578
2020-07-15,10550.492
2020-07-16,10473.828
2020-07-17,10503.191
2020-07-20,10767.094
2020-07-21,10680.363
2020-07-22,10706.129
