Date,Interest
2020-02-14,1.24
2020-02-17,1.24
2020-02-18,1.23
2020-02-19,1.24
2020-02-20,1.23
2020-02-21,1.23
2020-02-24,1.24
2020-02-25,1.25
2020-02-26,1.25
2020-02-27,1.23
2020-02-28,1.26
2020-03-02,1.26
2020-03-03,1.26
2020-03-04,1.25
2020-03-05,1.25
2020-03-06,1.24
2020-03-09,1.26
2020-03-10,1.25
2020-03-11,1.24
2020-03-12,1.25
2020-03-13,1.25
2020-03-16,1.27
2020-03-17,0.76
2020-03-18,0.73
2020-03-19,0.72
2020-03-20,0.73
2020-03-23,0.73
2020-03-24,0.72
2020-03-25,0.73
2020-03-26,0.73
2020-03-27,0.75
2020-03-30,0.76
2020-03-31,0.80
2020-04-01,0.76
2020-04-02,0.74
2020-04-03,0.73
2020-04-06,0.75
2020-04-07,0.74
2020-04-08,0.73
2020-04-09,0.73
2020-04-10,0.73
2020-04-13,0.75
2020-04-14,0.74
2020-04-16,0.73
2020-04-17,0.74
2020-04-20,0.75
2020-04-21,0.75
2020-04-22,0.74
2020-04-23,0.74
2020-04-24,0.74
2020-04-27,0.73
2020-04-28,0.73
2020-04-29,0.76
2020-05-04,0.71
2020-05-06,0.72
2020-05-07,0.71
2020-05-08,0.72
2020-05-11,0.73
2020-05-12,0.73
2020-05-13,0.72
2020-05-14,0.72
2020-05-15,0.71
2020-05-18,0.71
2020-05-19,0.73
2020-05-20,0.72
2020-05-21,0.73
2020-05-22,0.72
2020-05-25,0.72
2020-05-26,0.72
2020-05-27,0.74
2020-05-28,0.49
2020-05-29,0.49
2020-06-01,0.49
2020-06-02,0.47
2020-06-03,0.47
2020-06-04,0.46
2020-06-05,0.47
2020-06-08,0.46
2020-06-09,0.50
2020-06-10,0.49
2020-06-11,0.49
2020-06-12,0.46
2020-06-15,0.46
2020-06-16,0.46
2020-06-17,0.47
2020-06-18,0.46
2020-06-19,0.46
2020-06-22,0.47
2020-06-23,0.47
2020-06-24,0.48
2020-06-25,0.47
2020-06-26,0.50
2020-06-29,0.49
2020-06-30,0.57
2020-07-01,0.48
2020-07-02,0.47
2020-07-03,0.50
2020-07-06,0.49
2020-07-07,0.45
2020-07-08,0.48
2020-07-09,0.48
2020-07-10,0.49
2020-07-13,0.50
2020-07-14,0.48
2020-07-15,0.47
2020-07-16,0.49
2020-07-17,0.46
2020-07-20,0.44
2020-07-21,0.46
2020-07-22,0.45
